,     Extent,time,xco2,xch4
0,14.12,2003-01-08,373.65958,1724.0134
1,14.126,2003-01-10,375.68082000000004,1726.5620000000001
2,14.219,2003-01-11,374.62955,1729.7222
3,14.278,2003-01-12,375.1258,1723.0782
4,14.285,2003-01-13,374.61102,1719.0468
5,14.395,2003-01-14,374.3219,1728.2227
6,14.424,2003-01-15,374.392,1723.9794
7,14.518,2003-01-16,375.27655,1730.43
8,14.584,2003-01-17,376.78893999999997,1719.4619
9,14.638,2003-01-18,376.95218,1726.7108
10,14.684,2003-01-19,376.83838,1725.1062
11,14.796,2003-01-20,375.8944,1730.9092
12,14.739,2003-01-21,376.4137,1728.7305
13,14.555,2003-01-22,376.63525,1724.0244
14,14.481,2003-01-23,376.58026,1727.3425
15,14.528,2003-01-24,376.59448,1721.855
16,14.585,2003-01-25,376.05334,1730.8308
17,14.583,2003-01-26,375.3486,1736.1038
18,14.791,2003-01-27,375.67537999999996,1734.8955
19,14.891,2003-01-28,376.29938,1734.4824
20,14.771,2003-01-29,377.06326,1733.7523
21,14.811,2003-01-30,376.11,1733.025
22,14.871,2003-01-31,376.64975,1730.8931
23,14.946,2003-02-01,376.38867,1732.6155
24,14.954,2003-02-02,375.5301,1732.2224
25,14.889,2003-02-03,375.8846,1733.3632
26,14.876,2003-02-04,376.54254,1736.3766
27,14.905,2003-02-05,376.56073,1734.5332
28,14.834,2003-02-06,376.4109,1733.9784
29,14.942,2003-02-07,377.1735,1738.1475
30,14.975,2003-02-08,377.19,1730.2603
31,14.996,2003-02-09,375.86307,1727.626
32,15.003,2003-02-10,375.50699999999995,1728.8604
33,15.057,2003-02-11,377.18018,1724.3711
34,15.078,2003-02-12,375.63757000000004,1734.412
35,15.142,2003-02-13,375.90936,1731.9211
36,15.139,2003-02-14,376.2544,1731.5441
37,15.212,2003-02-15,375.72083,1736.5420000000001
38,15.359,2003-02-19,376.91342000000003,1721.8734
39,15.386,2003-02-20,376.79483,1714.9731
40,15.439,2003-02-24,378.42398,1728.4994
41,15.41,2003-02-25,376.84902999999997,1728.0664
42,15.506,2003-02-26,376.15686,1728.4978
43,15.495,2003-02-27,377.4946,1729.648
44,15.518,2003-02-28,374.87305,1729.8645
45,15.555,2003-03-01,374.52463,1736.9479
46,15.61,2003-03-02,376.58466,1736.0634
47,15.616,2003-03-03,376.28168,1741.6968
48,15.524,2003-03-04,376.1956,1742.7606
49,15.472,2003-03-05,374.33524,1730.6569
