,     Extent,time,xco2,xch4
0,6.693,2003-01-08,373.65958,1724.0134
1,6.427,2003-01-10,375.68082000000004,1726.5620000000001
2,6.252,2003-01-11,374.62955,1729.7222
3,6.166,2003-01-12,375.1258,1723.0782
4,5.968,2003-01-13,374.61102,1719.0468
5,5.884,2003-01-14,374.3219,1728.2227
6,5.828,2003-01-15,374.392,1723.9794
7,5.698,2003-01-16,375.27655,1730.43
8,5.613,2003-01-17,376.78893999999997,1719.4619
9,5.57,2003-01-18,376.95218,1726.7108
10,5.459,2003-01-19,376.83838,1725.1062
11,5.298,2003-01-20,375.8944,1730.9092
12,5.175,2003-01-21,376.4137,1728.7305
13,5.044,2003-01-22,376.63525,1724.0244
14,4.911,2003-01-23,376.58026,1727.3425
15,4.809,2003-01-24,376.59448,1721.855
16,4.742,2003-01-25,376.05334,1730.8308
17,4.61,2003-01-26,375.3486,1736.1038
18,4.516,2003-01-27,375.67537999999996,1734.8955
19,4.464,2003-01-28,376.29938,1734.4824
20,4.386,2003-01-29,377.06326,1733.7523
21,4.336,2003-01-30,376.11,1733.025
22,4.288,2003-01-31,376.64975,1730.8931
23,4.186,2003-02-01,376.38867,1732.6155
24,4.128,2003-02-02,375.5301,1732.2224
25,4.062,2003-02-03,375.8846,1733.3632
26,4.023,2003-02-04,376.54254,1736.3766
27,3.975,2003-02-05,376.56073,1734.5332
28,3.947,2003-02-06,376.4109,1733.9784
29,3.908,2003-02-07,377.1735,1738.1475
30,3.85,2003-02-08,377.19,1730.2603
31,3.84,2003-02-09,375.86307,1727.626
32,3.811,2003-02-10,375.50699999999995,1728.8604
33,3.757,2003-02-11,377.18018,1724.3711
34,3.711,2003-02-12,375.63757000000004,1734.412
35,3.727,2003-02-13,375.90936,1731.9211
36,3.693,2003-02-14,376.2544,1731.5441
37,3.704,2003-02-15,375.72083,1736.5420000000001
38,3.631,2003-02-19,376.91342000000003,1721.8734
39,3.656,2003-02-20,376.79483,1714.9731
40,3.696,2003-02-24,378.42398,1728.4994
41,3.655,2003-02-25,376.84902999999997,1728.0664
42,3.686,2003-02-26,376.15686,1728.4978
43,3.656,2003-02-27,377.4946,1729.648
44,3.65,2003-02-28,374.87305,1729.8645
45,3.643,2003-03-01,374.52463,1736.9479
46,3.647,2003-03-02,376.58466,1736.0634
47,3.655,2003-03-03,376.28168,1741.6968
48,3.722,2003-03-04,376.1956,1742.7606
49,3.717,2003-03-05,374.33524,1730.6569
50,3.751,2003-03-06,378.6653,1741.6144
51,3.777,2003-03-07,375.46436,1732.5369
52,3.813,2003-03-08,375.79977,1733.7432
53,3.888,2003-03-09,377.27786000000003,1736.0774
54,3.975,2003-03-10,375.31018,1734.3729
55,4.034,2003-03-11,375.31458,1739.8574
56,4.064,2003-03-12,376.83112,1737.2128
57,4.16,2003-03-13,375.32776,1733.8821
58,4.218,2003-03-14,375.14685,1735.7863
