,Extent,Value
1978-11-01,4.38175,-0.307
1978-12-01,3.3325,-0.757
1979-02-01,0.9259999999999999,-0.446
1979-03-01,0.812,1.1540000000000001
1979-06-01,3.1635000000000004,0.07200000000000001
1979-07-01,3.92125,-3.255
1979-09-01,4.54675,2.1
1979-10-01,4.5625,-1.412
1980-01-01,1.4917500000000001,0.685
1980-03-01,0.644,0.537
1980-06-01,2.67025,0.04
1980-07-01,3.5497500000000004,0.799
1980-09-01,4.6530000000000005,0.353
1980-10-01,4.71925,-0.61
1981-01-01,1.5807499999999999,1.681
1981-04-01,1.12625,-1.053
1981-05-01,1.8872499999999999,1.896
1981-08-01,4.242,4.228
1981-11-01,4.30325,-2.202
1981-12-01,3.58075,-0.439
1982-02-01,0.9125,-0.57
1982-03-01,0.762,-1.056
1982-06-01,3.045,-1.426
1982-07-01,3.674,1.526
1982-09-01,4.584,-2.296
1982-10-01,4.5585,0.9490000000000001
1983-01-01,1.6269999999999998,-0.486
1983-04-01,1.2847499999999998,0.978
1983-05-01,2.029,1.4409999999999998
1983-08-01,4.1465,0.588
1983-11-01,4.32075,-3.3310000000000004
1983-12-01,3.4677499999999997,-1.77
1984-02-01,0.7597499999999999,-0.7070000000000001
1984-04-01,1.232,-2.045
1984-05-01,2.0395,1.821
1984-08-01,4.366499999999999,0.787
1984-11-01,4.3214999999999995,1.6269999999999998
1984-12-01,3.46575,1.93
1985-02-01,0.78975,-1.7819999999999998
1985-03-01,0.7597499999999999,0.5
1985-06-01,2.95425,3.262
1985-07-01,3.73375,-0.711
1985-09-01,4.6535,-1.034
1985-10-01,4.64525,-0.513
1986-01-01,1.9295,0.725
1986-04-01,1.2942500000000001,1.7180000000000002
1986-05-01,1.9680000000000002,-2.312
1986-08-01,4.0835,1.314
1986-11-01,4.093,-0.831
1986-12-01,3.12625,-1.09
1987-02-01,0.9425,-0.396
1987-03-01,0.7995,1.652
1987-06-01,2.84925,1.77
1987-07-01,3.66675,0.022000000000000002
1987-09-01,4.4795,-1.1159999999999999
1987-10-01,4.6027499999999995,-0.5770000000000001
1987-11-01,4.21825,-1.9869999999999999
1987-12-01,3.3617500000000002,-0.629
1988-02-01,0.8065000000000001,-1.632
1988-03-01,0.6877500000000001,3.517
1988-04-01,1.236,0.249
1988-05-01,1.9492500000000001,-0.313
1988-06-01,2.88075,1.3769999999999998
1988-07-01,3.6302499999999998,-0.418
1988-08-01,4.256,2.6630000000000003
1988-09-01,4.437749999999999,2.752
1988-10-01,4.66425,3.575
1988-11-01,4.394,0.008
1988-12-01,3.5195,-1.202
1989-01-01,1.771,-2.013
1989-02-01,0.855,-0.598
1989-03-01,0.7625,-0.023
1989-04-01,1.245,-2.157
1989-05-01,2.08325,-3.3489999999999998
1989-06-01,3.03775,-2.5789999999999997
1989-07-01,3.7552499999999998,2.275
1989-08-01,4.2005,3.3339999999999996
1989-09-01,4.5280000000000005,1.7280000000000002
1989-10-01,4.481,-0.752
1989-11-01,4.25175,0.09
1989-12-01,3.34575,1.989
1990-01-01,1.69275,0.654
1990-02-01,0.865,-0.442
1990-03-01,0.7254999999999999,-0.272
1990-04-01,1.3927500000000002,-0.8959999999999999
1990-05-01,2.0892500000000003,-1.869
1990-06-01,2.87375,0.8740000000000001
1990-07-01,3.6172500000000003,3.128
1990-08-01,4.194,-0.8809999999999999
1990-09-01,4.5455000000000005,-1.186
1990-10-01,4.5805,1.022
1990-11-01,4.25125,1.347
1990-12-01,3.2230000000000003,2.083
1991-01-01,1.77375,-0.285
1991-02-01,0.9925,1.854
1991-03-01,0.64375,-1.7830000000000001
1991-04-01,1.3895,-0.205
1991-05-01,2.173,-1.432
